assetid,assetname,classofasset,schemename,schemecode,sanctiondate,wage,Total Material,semiskilled,skilled,material,contingency,total,mandays
32005656523,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4922542,3201009008/IF/IAY/3243583,28-11-2019,17437,0,0,0,0,0  ,17437,
32005656549,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4991726,3201009008/IF/IAY/3243589,26-11-2019,17437,0,0,0,0,0  ,17437,
32005656644,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5505859,3201009008/IF/IAY/3243620,26-11-2019,17437,0,0,0,0,0  ,17437,
32005656693,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5655357,3201009008/IF/IAY/3243622,26-11-2019,17437,0,0,0,0,0  ,17437,
32005656723,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4943330,3201009008/IF/IAY/3243629,28-11-2019,17437,0,0,0,0,0  ,17437,
32005656894,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4331594,3201009008/IF/IAY/3243637,26-11-2019,17437,0,0,0,0,0  ,17437,
32005656600,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2882218,3201009008/IF/IAY/3243609,26-11-2019,17437,0,0,0,0,0  ,17437,
32005703020,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3837764,3201009008/IF/IAY/3243653,26-11-2019,17437,0,0,0,0,0  ,17437,
32005656774,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3807268,3201009008/IF/IAY/3243636,26-11-2019,17437,0,0,0,0,0  ,17437,
32005656033,RC,Earthern road,Construction of Jhama Bats road including earth work from the h/o Madhu Ghosh to the Paddey field of,3201009008/RC/320201060431118,19-12-2017,211360,155506,0,14580,140926,0  ,366866,
32005657009,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2292831,3201009008/IF/IAY/3243639,06-12-2019,17437,0,0,0,0,0  ,17437,
32002496071,PMAY(G),IAY Houses,Construction of IAY House -IAY REG. NO. WB1603833,3201009008/IF/IAY/1425061,13-08-2017,16200,0,0,0,0,0  ,16200,
32005703207,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5231783,3201009008/IF/IAY/3243678,26-11-2019,17463,0,0,0,0,0  ,17463,
32002496092,PMAY(G),IAY Houses,Construction of IAY House -IAY REG. NO. WB1616559,3201009008/IF/IAY/1429387,13-08-2017,16200,0,0,0,0,0  ,16200,
32005703080,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4952328,3201009008/IF/IAY/3243650,26-11-2019,17437,0,0,0,0,0  ,17437,
32005703252,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3834028,3201009008/IF/IAY/3243685,28-11-2019,17437,0,0,0,0,0  ,17437,
32005703445,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5330605,3201009008/IF/IAY/3243714,26-11-2019,17437,0,0,0,0,0  ,17437,
32005703400,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5054755,3201009008/IF/IAY/3243710,28-11-2019,17437,0,0,0,0,0  ,17437,
32005703476,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2587491,3201009008/IF/IAY/3243727,26-11-2019,17437,0,0,0,0,0  ,17437,
32005703603,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4683076,3201009008/IF/IAY/3243765,28-11-2019,17476,0,0,0,0,0  ,17476,
32005703513,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5350698,3201009008/IF/IAY/3243744,26-11-2019,17619,0,0,0,0,0  ,17619,
32005703550,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5344519,3201009008/IF/IAY/3243761,26-11-2019,17463,0,0,0,0,0  ,17463,
32005703660,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4922526,3201009008/IF/IAY/3243772,28-11-2019,17476,0,0,0,0,0  ,17476,
32005703631,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3489425,3201009008/IF/IAY/3243769,26-11-2019,17476,0,0,0,0,0  ,17476,
32005703688,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2353271,3201009008/IF/IAY/3243773,26-11-2019,17476,0,0,0,0,0  ,17476,
32005703355,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4034337,3201009008/IF/IAY/3243690,26-11-2019,17437,0,0,0,0,0  ,17437,
32005703724,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5325156,3201009008/IF/IAY/3243781,28-11-2019,17476,0,0,0,0,0  ,17476,
32005703837,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3823915,3201009008/IF/IAY/3243793,26-11-2019,17476,0,0,0,0,0  ,17476,
32005703118,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5295896,3201009008/IF/IAY/3243661,26-11-2019,17437,0,0,0,0,0  ,17437,
32005703800,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2296410,3201009008/IF/IAY/3243787,06-12-2019,17632,0,0,0,0,0  ,17632,
32002496083,PMAY(G),IAY Houses,Construction of IAY House -IAY REG. NO. WB1854551,3201009008/IF/IAY/1430568,07-08-2017,16200,0,0,0,0,0  ,16200,
32005703755,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4683191,3201009008/IF/IAY/3243785,28-11-2019,17476,0,0,0,0,0  ,17476,
32005703914,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3727168,3201009008/IF/IAY/3243802,26-11-2019,17476,0,0,0,0,0  ,17476,
32005704021,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2633915,3201009008/IF/IAY/3243812,26-11-2019,17476,0,0,0,0,0  ,17476,
32005704080,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5347749,3201009008/IF/IAY/3243815,26-11-2019,17502,0,0,0,0,0  ,17502,
32005704143,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4557007,3201009008/IF/IAY/3243826,26-11-2019,17411,0,0,0,0,0  ,17411,
32005703957,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4756981,3201009008/IF/IAY/3243803,26-11-2019,17476,0,0,0,0,0  ,17476,
32005704347,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3882163,3201009008/IF/IAY/3243829,26-11-2019,17476,0,0,0,0,0  ,17476,
32005703166,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2815006,3201009008/IF/IAY/3243666,26-11-2019,17437,0,0,0,0,0  ,17437,
32002496056,PMAY(G),IAY Houses,Construction of IAY House -IAY REG. NO. WB1618468,3201009008/IF/IAY/1425226,13-08-2017,16200,0,0,0,0,0  ,16200,
32005703882,04-08-2020,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2260190,3201009008/IF/IAY/3243796,06-12-2019,17788,0,0,0,0,0  ,17788,
32005706678,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4841311,3201009008/IF/IAY/3243862,26-11-2019,17476,0,0,0,0,0  ,17476,
32005706656,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4368770,3201009008/IF/IAY/3243852,26-11-2019,17476,0,0,0,0,0  ,17476,
32005706629,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5295772,3201009008/IF/IAY/3243835,26-11-2019,17476,0,0,0,0,0  ,17476,
32002380653,cultivation,Plantation,Cultivation of T.C Banana in the land of IB/SC/ST at Goalpara under Dignagar GP under Kgr-I Block,3201009/DP/34040973410,25-11-2014,68614,4056,1267.5,2788.5,0,0  ,72670,
32005706759,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4929290,3201009008/IF/IAY/3243889,28-11-2019,17476,0,0,0,0,0  ,17476,
32002496034,PMAY(G),IAY Houses,Construction of IAY House -IAY REG. NO. WB1937601,3201009008/IF/IAY/1347742,29-03-2017,16200,0,0,0,0,0  ,16200,
32002380648,Individual Household Latrines,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase-01,3201009/RS/34040949135,16-10-2014,5408,16192,0,0,16192,0  ,21600,
32005706738,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4844386,3201009008/IF/IAY/3243880,26-11-2019,17476,0,0,0,0,0  ,17476,
32002496021,PMAY(G),IAY Houses,Construction of IAY House -IAY REG. NO. WB1255202,3201009008/IF/IAY/1333483,30-03-2017,16200,0,0,0,0,0  ,16200,
32005706790,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5363132,3201009008/IF/IAY/3243890,28-11-2019,17476,0,0,0,0,0  ,17476,
32005706951,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5270697,3201009008/IF/IAY/3243916,26-11-2019,17476,0,0,0,0,0  ,17476,
32005706853,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3833306,3201009008/IF/IAY/3243896,26-11-2019,17476,0,0,0,0,0  ,17476,
32005706887,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4754010,3201009008/IF/IAY/3243905,26-11-2019,17476,0,0,0,0,0  ,17476,
32005706710,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5008112,3201009008/IF/IAY/3243876,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707003,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2532936,3201009008/IF/IAY/3243925,26-11-2019,17476,0,0,0,0,0  ,17476,
32005706974,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4851113,3201009008/IF/IAY/3243923,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707029,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3875895,3201009008/IF/IAY/3243934,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707178,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4714245,3201009008/IF/IAY/3243948,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707048,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4620965,3201009008/IF/IAY/3243938,26-11-2019,17502,0,0,0,0,0  ,17502,
32005707114,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4849157,3201009008/IF/IAY/3243946,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707146,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5311500,3201009008/IF/IAY/3243947,28-11-2019,17476,0,0,0,0,0  ,17476,
32005706918,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3918435,3201009008/IF/IAY/3243909,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707215,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4571722,3201009008/IF/IAY/3243949,26-11-2019,17502,0,0,0,0,0  ,17502,
32005707271,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1620458,3201009008/IF/IAY/3243952,06-12-2019,17476,0,0,0,0,0  ,17476,
32005707326,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5278098,3201009008/IF/IAY/3243960,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707297,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4924261,3201009008/IF/IAY/3243958,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707354,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2192363,3201009008/IF/IAY/3243962,06-12-2019,17476,0,0,0,0,0  ,17476,
32005706823,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3686066,3201009008/IF/IAY/3243892,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707399,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3101148,3201009008/IF/IAY/3243973,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707374,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4849261,3201009008/IF/IAY/3243970,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707245,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3829467,3201009008/IF/IAY/3243951,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707432,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2398012,3201009008/IF/IAY/3243992,26-11-2019,17476,0,0,0,0,0  ,17476,
32005707087,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4697024,3201009008/IF/IAY/3243942,28-11-2019,17476,0,0,0,0,0  ,17476,
32005712939,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4815254,3201009008/IF/IAY/3244012,28-11-2019,17476,0,0,0,0,0  ,17476,
32005712993,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5647832,3201009008/IF/IAY/3244018,28-11-2019,17476,0,0,0,0,0  ,17476,
32002365709,PMAY(G),IAY Houses,Construction of IAY House -IAY REG. NO. WB2296919,3201009008/IF/IAY/1349125,30-03-2017,16200,0,0,0,0,0  ,16200,
32005713089,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3882086,3201009008/IF/IAY/3244025,26-11-2019,17476,0,0,0,0,0  ,17476,
32005713382,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5270636,3201009008/IF/IAY/3244035,26-11-2019,17476,0,0,0,0,0  ,17476,
32005713422,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4945410,3201009008/IF/IAY/3244045,26-11-2019,17476,0,0,0,0,0  ,17476,
32005712881,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4924220,3201009008/IF/IAY/3244003,26-11-2019,17476,0,0,0,0,0  ,17476,
32005713453,PMAY,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5220005,3201009008/IF/IAY/3244057,28-11-2019,17476,0,0,0,0,0  ,17476,
32005730648,pmay,Constr of PMAY-G House for Individuals,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5454630,3201009008/IF/IAY/3244066,26-11-2019,17476,0,0,0,0,0  ,17476,
