assetid,schemename,schemecode,assetname,classofasset,sanctiondate,wage,semiskilled,skilled,material,contingency,total,mandays
32003816519,PLANTATION CUM ENVIRONMENTAL CLEANING AT GANNEY GANGADHARPUR HEALTH SUB-CENTRE NEAR AMAR KANAN,3216014001/DP/22012034432828,PLANTATION CUM ENVIRONMENTAL CLEANING AT GANNEY GANGADHARPUR HEALTH SUB-CENTRE NEAR AMAR KANAN,Road Line Plantation of Shelter Belt Trees-Comm,07-06-2018,33043,0,0,0,0  ,33043,
32003822473,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2417854,3216014001/IF/IAY/2196610,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB2417854,Constr of PMAY-G House for Individuals,07-03-2018,17190,0,0,0,0  ,17190,
32003822194,Construction of IAY House -IAY REG. NO. WB1512931,3216014001/IF/IAY/1930098,Construction of IAY House -IAY REG. NO. WB1512931,IAY Houses,01-04-2017,16426,0,0,0,0  ,16426,
32002262833,IHHL & IBS OF SARFUDDIN MOLLA & OTHER 29 BENEFICIARIES AT MOUZA-ASHUTI GANNEYGANGADHARPUR(PART-IX),3216014001/RS/34041038158,RURAL SANITATION,Individual Household Latrines,23-09-2016,0,0,0,8240.504,0  ,8240.504,
32003824223,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5150742,3216014001/IF/IAY/2214712,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB5150742,Constr of PMAY-G House for Individuals,07-03-2018,17190,0,0,0,0  ,17190,
32003823572,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4166313,3216014001/IF/IAY/2213905,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB4166313,Constr of PMAY-G House for Individuals,20-02-2018,17190,0,0,0,0  ,17190,
32003837255,Construction of IAY House -IAY REG. NO. WB2016832,3216014001/IF/IAY/1051774,Construction of IAY House -IAY REG. NO. WB2016832(3216014001IFIAY1051774),IAY Houses,17-02-2017,15840,0,0,0,0  ,15840,
32003822740,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2604451,3216014001/IF/IAY/2210632,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB2604451,Constr of PMAY-G House for Individuals,05-02-2018,17190,0,0,0,0  ,17190,
32003842159,GITANJALI HOUSE OF PRADIP MONDAL AT SANSAD-III,3216014001/IF/321002040842362,GITANJALI HOUSE OF PRADIP MONDAL AT SANSAD-III,Constr of State scheme House for Individuals,17-07-2018,17190,0,0,0,0  ,17190,
32003886775,Construction of IAY House -IAY REG. NO. WB3073963,3216014001/IF/IAY/1052380,Construction of IAY House -IAY REG. NO. WB3073963(3216014001IFIAY1052380),IAY Houses,12-02-2017,15840,0,0,0,0  ,15840,
32003824869,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5190243,3216014001/IF/IAY/2215542,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB5190243,Constr of PMAY-G House for Individuals,07-03-2018,17190,0,0,0,0  ,17190,
32003823058,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3881726,3216014001/IF/IAY/2212712,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB3881726,Constr of PMAY-G House for Individuals,07-03-2018,17190,0,0,0,0  ,17190,
32003887169,Construction of IAY House -IAY REG. NO. WB2931195,3216014001/IF/IAY/1245146,IAY REG. NO. WB2931195(3216014001IFIAY1245146),IAY Houses,01-04-2017,10440,0,0,0,0  ,10440,
32003887307,Construction of IAY House -IAY REG. NO. WB3054067,3216014001/IF/IAY/1248752,IAY REG. NO. WB3054067(3216014001IFIAY1248752),IAY Houses,17-02-2017,16200,0,0,0,0  ,16200,
32003887552,Construction of IAY House -IAY REG. NO. WB1520577,3216014001/IF/IAY/1187146,Construction of IAY House -IAY REG. NO. WB1520577(3216014001IFIAY1187146),IAY Houses,16-03-2017,14760,0,0,0,0  ,14760,
32003893459,Construction of IAY House -IAY REG. NO. WB1824199,3216014001/IF/IAY/1216388,Construction of IAY House -IAY REG. NO. WB1824199(3216014001IFIAY1216388),IAY Houses,01-04-2017,16200,0,0,0,0  ,16200,
32003894635,Construction of IAY House -IAY REG. NO. WB2588776,3216014001/IF/IAY/1235406,.IAY REG. NO. WB2588776(3216014001IFIAY1235406),IAY Houses,01-04-2017,15300,0,0,0,0  ,15300,
32003886969,Construction of IAY House -IAY REG. NO. WB3502875,3216014001/IF/IAY/1052490,Construction of IAY House -IAY REG. NO. WB3502875(3216014001IFIAY1052490),IAY Houses,28-02-2017,14238,0,0,0,0  ,14238,
32003823400,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4074209,3216014001/IF/IAY/2213769,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB4074209,Constr of PMAY-G House for Individuals,20-02-2018,17190,0,0,0,0  ,17190,
32003894735,Construction of IAY House -IAY REG. NO. WB3201055,3216014001/IF/IAY/1252060,Construction of IAY House -IAY REG. NO. WB3201055(3216014001IFIAY1252060),IAY Houses,21-02-2017,16200,0,0,0,0  ,16200,
32003894677,Construction of IAY House -IAY REG. NO. WB2615217,3216014001/IF/IAY/1235943,IAY REG. NO. WB2615217(3216014001IFIAY1235943),IAY Houses,01-04-2017,16200,0,0,0,0  ,16200,
32003895626,Construction of IAY House -IAY REG. NO. WB3694092,3216014001/IF/IAY/1266649,Construction of IAY House -IAY REG. NO. WB3694092(3216014001IFIAY1266649),IAY Houses,15-02-2017,16200,0,0,0,0  ,16200,
32003895815,Construction of IAY House -IAY REG. NO. WB4411786,3216014001/IF/IAY/1280044,Construction of IAY House -IAY REG. NO. WB4411786(3216014001IFIAY1280044),IAY Houses,15-02-2017,16200,0,0,0,0  ,16200,
32003896143,Construction of IAY House -IAY REG. NO. WB5041256,3216014001/IF/IAY/1291958,Construction of IAY House -IAY REG. NO. WB5041256(3216014001IFIAY1291958),IAY Houses,16-03-2017,16200,0,0,0,0  ,16200,
32003896396,Construction of IAY House -IAY REG. NO. WB5426379,3216014001/IF/IAY/1299152,Construction of IAY House -IAY REG. NO. WB5426379(3216014001IFIAY1299152),IAY Houses,16-03-2017,16200,0,0,0,0  ,16200,
32003896898,Construction of IAY House -IAY REG. NO. WB2565502,3216014001/IF/IAY/1316520,Construction of IAY House -IAY REG. NO. WB2565502(3216014001IFIAY1316520),IAY Houses,01-04-2017,15300,0,0,0,0  ,15300,
32003894710,Construction of IAY House -IAY REG. NO. WB2640685,3216014001/IF/IAY/1236458,IAY REG. NO. WB2640685(3216014001IFIAY1236458),IAY Houses,01-04-2017,16200,0,0,0,0  ,16200,
32003902137,Construction of IAY House -IAY REG. NO. WB2639830,3216014001/IF/IAY/1367329,Construction of IAY House -IAY REG. NO. WB2639830(3216014001IFIAY1367329),IAY Houses,01-04-2017,12960,0,0,0,0  ,12960,
32003905069,Construction of IAY House -IAY REG. NO. WB2086866,3216014001/IF/IAY/1458077,Construction of IAY House -IAY REG. NO. WB2086866(3216014001IFIAY1458077),IAY Houses,16-07-2017,16398,0,0,0,0  ,16398,
32003905271,Construction of IAY House -IAY REG. NO. WB2648702,3216014001/IF/IAY/1878553,Construction of IAY House -IAY REG. NO. WB2648702(3216014001IFIAY1878553),IAY Houses,09-09-2017,15410,0,0,0,0  ,15410,
32003905578,Construction of IAY House -IAY REG. NO. WB5436941,3216014001/IF/IAY/1879727,Construction of IAY House -IAY REG. NO. WB5436941(3216014001IFIAY1879727),IAY Houses,06-07-2017,12960,0,0,0,0  ,12960,
32003905855,Construction of IAY House -IAY REG. NO. WB2622161,3216014001/IF/IAY/1882584,Construction of IAY House -IAY REG. NO. WB2622161(3216014001IFIAY1882584),IAY Houses,09-09-2017,16380,0,0,0,0  ,16380,
32004746616,Construction of IAY House -IAY REG. NO. WB3503990,3216014001/IF/IAY/1885117,Construction of IAY House -IAY REG. NO. WB3503990,IAY Houses,09-09-2017,16398,0,0,0,0  ,16398,
32004746840,Construction of IAY House -IAY REG. NO. WB5724308,3216014001/IF/IAY/1303796,Construction of IAY House -IAY REG. NO. WB5724308,IAY Houses,15-02-2017,16200,0,0,0,0  ,16200,
32005126997,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5426385,3216014001/IF/IAY/2540768,Rural Housing of Samiara Bibi,Constr of PMAY-G House for Individuals,08-09-2019,15280,0,0,0,0  ,15280,
32005127206,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3069093,3216014001/IF/IAY/2540388,Rural Housing of Bulbul Naskar,Constr of PMAY-G House for Individuals,08-09-2019,17190,0,0,0,0  ,17190,
32003842397,GITANJALI HOUSE OF AVIJIT BANREJEE AT SANSAD-I,3216014001/IF/321002040842349,GITANJALI HOUSE OF AVIJIT BANREJEE AT SANSAD-I,Constr of State scheme House for Individuals,17-07-2018,17190,0,0,0,0  ,17190,
32005187808,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2402633,3216014001/IF/IAY/2540277,Rural Housing of Asim Bhuiya,Constr of PMAY-G House for Individuals,08-09-2019,17190,0,0,0,0  ,17190,
32006103406,Construction of IAY House -IAY REG. NO. WB5037445,3216014001/IF/IAY/1884624,RURAL HOUSING,IAY Houses,06-07-2017,12960,0,0,0,0  ,12960,
32006103832,Construction of IAY House -IAY REG. NO. WB5675683,3216014001/IF/IAY/1887350,RURAL HOUSING,IAY Houses,09-09-2017,14598,0,0,0,0  ,14598,
32006104528,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2468858,3216014001/IF/IAY/2197304,RURAL HOUSING,Constr of PMAY-G House for Individuals,07-03-2018,16808,0,0,0,0  ,16808,
32006104329,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1531838,3216014001/IF/IAY/2192619,RURAL HOUSING,Constr of PMAY-G House for Individuals,07-03-2018,16426,0,0,0,0  ,16426,
32003900568,Construction of IAY House -IAY REG. NO. WB3507907,3216014001/IF/IAY/1318165,.Construction of IAY House -IAY REG. NO. WB3507907(3216014001IFIAY1318165),IAY Houses,01-04-2017,13320,0,0,0,0  ,13320,
32005127276,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5288257,3216014001/IF/IAY/2540478,Rural Housing of Handu Pramanik,Constr of PMAY-G House for Individuals,08-09-2019,10505,0,0,0,0  ,10505,
32005189854,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3506520,3216014001/IF/IAY/2540554,Rural Housing of Sukur Ali Molla,Constr of PMAY-G House for Individuals,08-09-2019,17190,0,0,0,0  ,17190,
32006105296,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4850663,3216014001/IF/IAY/2214316,RURAL HOUSING,Constr of PMAY-G House for Individuals,07-03-2018,16426,0,0,0,0  ,16426,
32006105421,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5418971,3216014001/IF/IAY/2215694,RURAL HOUSING,Constr of PMAY-G House for Individuals,05-02-2018,12224,0,0,0,0  ,12224,
32006105840,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3452044,3216014001/IF/IAY/2540549,RURAL HOUSING,Constr of PMAY-G House for Individuals,08-09-2019,17190,0,0,0,0  ,17190,
32006104725,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3507924,3216014001/IF/IAY/2200271,RURAL HOUSING,Constr of PMAY-G House for Individuals,07-03-2018,16808,0,0,0,0  ,16808,
32006105135,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3881204,3216014001/IF/IAY/2212710,RURAL HOUSING,Constr of PMAY-G House for Individuals,07-03-2018,16426,0,0,0,0  ,16426,
32006677133,IHHL & IBS OF SARFUDDIN MOLLA & OTHER 29 BENEFICIARIES AT MOUZA - ASHUTI &GANNEYGANGADHARPUR(PART-I),3216014001/RS/34041031636,IHHL,Individual Household Latrines,23-09-2016,8800,0,0,0,0  ,8800,
32006104987,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2364715,3216014001/IF/IAY/2209137,RURAL HOUSING,Constr of PMAY-G House for Individuals,07-03-2018,9550,0,0,0,0  ,9550,
32006677408,Desiltation of Migro Irrigation Channel at sansad- XI,3216014001/FP/320201060454425,MICRO IRRIGATION,Repair & maint of intrmediate & Lnk Drain for Comm,07-06-2018,4966,0,0,0,0  ,4966,
32007307535,Block Plantation of Horticulture Trees in fields for Banu Bibi at Sansad No -X,3216014001/IF/321002041018411,Plantation,Block Plantation-Hort-Trees in fields-Individuals,13-09-2019,444,0,0,0,0  ,444,
32007331585,Orchard Plantation of Beneficiary- SHAILYA BHUIYA  at sansad No-XII,3216014001/IF/22012034657487,Orchard Plantation of Beneficiary- SHAILYA BHUIYA at sansad No-XII,Line Plntation(Coast) - horti-trees (Individuals),24-08-2018,1910,0,0,0,0  ,1910,
32007331345,Orchard Plantation of Beneficiary- NILUFA BIBI at Sansad No-XII,3216014001/IF/22012034659602,Orchard Plantation of Beneficiary- NILUFA BIBI at Sansad No-XII,Line Plntation(Coast) - horti-trees (Individuals),24-08-2018,1910,0,0,0,0  ,1910,
32007373688,Orchard Plantation of Beneficiary- NANDARANI NASKAR   at Sansad No-VI,3216014001/IF/22012034659614,Orchard Plantation of Beneficiary- NANDARANI NASKAR at Sansad No-VI,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,12415,0,0,0,0  ,12415,
32003840335,Construction of IAY House -IAY REG. NO. WB2622853,3216014001/IF/IAY/1052181,Construction of IAY House -IAY REG. NO. WB2622853(3216014001IFIAY1052181),IAY Houses,17-02-2017,15840,0,0,0,0  ,15840,
32007308826,Block Plantation of Horticulture Trees in fields for Rita Jana at Sansad No X,3216014001/IF/321002041011421,Block Plantation of Horticulture Trees in fields for Rita Jana at Sansad No X,Block Plantation-Hort-Trees in fields-Individuals,30-08-2019,32,0,0,0,0  ,32,
32007375729,Orchard Plantation of Beneficiary- SUKLA MONDAL at sansad No-I,3216014001/IF/22012034656635,Orchard Plantation of Beneficiary- SUKLA MONDAL at sansad No-I,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,11460,0,0,0,0  ,11460,
32007372945,Orchard Plantation of Beneficiary-BIREN RANG at Sansad No-XI,3216014001/IF/22012034659102,Orchard Plantation of Beneficiary-BIREN RANG at Sansad No-XI,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,11269,0,0,0,0  ,11269,
32007414927,Desiltation of Irrigation Channel from Peskar Gazi House towards charaktala at Sansad-XI,3216014001/FP/320201060457702,Desiltation of Irrigation Channel from Peskar Gazi House towards charaktala at Sansad-XI,Renovation of Flood/ Diversion Channel for Comm,04-10-2018,203260,0,0,0,0  ,203260,
32007375837,Orchard Plantation of Beneficiary- PALASH MONDAL   at sansad No-I,3216014001/IF/22012034656646,Orchard Plantation of Beneficiary- PALASH MONDAL at sansad No-I,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,11269,0,0,0,0  ,11269,
32007469287,Plantation cum Environmental Cleaning at Khanberia Krishnarampur F.P. School  at Sansad No:A1/X,3216014001/DP/22012034357917,Plantation cum Environmental Cleaning at Khanberia Krishnarampur F.P. School at Sansad No:A1/X,Plantation in Government Premises,18-04-2017,34200,0,0,0,0  ,34200,
32007469754,Environmental Cleaning at South Ashuti F.P School (Kalitala) Sansad No:-A1/ V,3216014001/DP/22012034411654,Environmental Cleaning at South Ashuti F.P School (Kalitala) Sansad No:-A1/ V,Plantation,25-10-2017,7060,0,0,0,0  ,7060,
32007470871,Orchard Plantation of Beneficiary- SIDDHARTHA MUKHERJEE   at sansad No-IV,3216014001/IF/22012034657819,Orchard Plantation of Beneficiary- SIDDHARTHA MUKHERJEE at sansad No-IV,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,8595,0,0,0,0  ,8595,
32007375515,Orchard Plantation of Beneficiary- TAPAN NASKAR  at Sansad No-V,3216014001/IF/22012034659105,Orchard Plantation of Beneficiary- TAPAN NASKAR at Sansad No-V,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,11460,0,0,0,0  ,11460,
32007656273,Orchard Plantation of Beneficiary- PRADIP NASKAR at sansad No-II,3216014001/IF/22012034657475,Orchard Plantation of Beneficiary- PRADIP NASKAR at sansad No-II,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,9550,0,0,0,0  ,9550,
32007656591,Orchard Plantation of Beneficiary- KASHINATH NASKAR at Sansad No-VIII,3216014001/IF/22012034659709,Orchard Plantation of Beneficiary- KASHINATH NASKAR at Sansad No-VIII,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,10505,0,0,0,0  ,10505,
32007656647,Orchard Plantation of Beneficiary- AZMIRA KAZI at Sansad No-VIII,3216014001/IF/22012034659724,Orchard Plantation of Beneficiary- AZMIRA KAZI at Sansad No-VIII,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,10505,0,0,0,0  ,10505,
32007656774,Orchard Plantation of Beneficiary –DIPU MONDAL at Sansad No-X,3216014001/IF/22012034661175,Orchard Plantation of Beneficiary –DIPU MONDAL at Sansad No-X,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,10505,0,0,0,0  ,10505,
32007656989,Gitanjali house of  BIKRAM NASKAR AT SANSAD-VIII,3216014001/IF/321002040912602,Gitanjali house of BIKRAM NASKAR AT SANSAD-VIII,Constr of State scheme House for Individuals,15-11-2018,12797,0,0,0,0  ,12797,
32007657077,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4298943,3216014001/IF/IAY/2214265,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB4298943,Constr of PMAY-G House for Individuals,21-03-2018,15280,0,0,0,0  ,15280,
32007657208,GITANJALI HOUSE OF SHYAMALI SARDAR AT SANSAD-VI,3216014001/IF/321002040842356,GITANJALI HOUSE OF SHYAMALI SARDAR AT SANSAD-VI,Constr of State scheme House for Individuals,17-07-2018,17190,0,0,0,0  ,17190,
32007657248,Gitanjali house of DALI SAHA AT SANSAD-VIII,3216014001/IF/321002040912613,Gitanjali house of DALI SAHA AT SANSAD-VIII,Constr of State scheme House for Individuals,15-11-2018,17190,0,0,0,0  ,17190,
32008074205,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4543135,3216014001/IF/IAY/4972595,Construction of PMAY-G House for Individuals -PMAY-G REG. NO. WB4543135,Constr of PMAY-G House for Individuals,30-07-2021,20070,0,0,0,0  ,20070,
32007634936,Orchard Plantation of Beneficiary –HASEM ALI SARDAR at Sansad No-XII,3216014001/IF/22012034661151,Orchard Plantation of Beneficiary –HASEM ALI SARDAR at Sansad No-XII,Line Plntation(Coast) - horti-trees (Individuals),24-08-2018,1910,0,0,0,0  ,1910,
32008210060,Reconstruction of House under SDRF post AMPHAN of beneficiary Prabha Mondal at sansad III,3216014001/IF/321002041151544,Reconstruction of House under SDRF post AMPHAN of beneficiary Prabha Mondal at sansad III,Constr of State scheme House for Individuals,16-06-2020,15300,0,0,0,0  ,15300,
32007656106,Orchard Plantation of Beneficiary- SANWAJ MONDAL  at sansad No-XII,3216014001/IF/22012034656464,Orchard Plantation of Beneficiary- SANWAJ MONDAL at sansad No-XII,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,7831,0,0,0,0  ,7831,
32008208932,Reconstruction of House under SDRF post AMPHAN of beneficiary Utpal Bagani and Others 8 at sand V,3216014001/IF/321002041167797,Reconstruction of House under SDRF post AMPHAN of beneficiary Utpal Bagani and Others 8 at sand V,Constr of State scheme House for Individuals,16-06-2020,138720,0,0,0,0  ,138720,
32008213233,Reconstruction of House under SDRF post AMPHAN of beneficiary Arun Mondal and Others  at sand I,3216014001/IF/321002041167733,Reconstruction of House under SDRF post AMPHAN of beneficiary Arun Mondal and Others at sand I,Constr of State scheme House for Individuals,16-06-2020,128520,0,0,0,0  ,128520,
32008210458,Reconstruction of house under SDRF post AMPHAN of Beneficiary of Dudh Kumar Naskar at Sansad IV,3216014001/IF/321002041151393,Reconstruction of house under SDRF post AMPHAN of Beneficiary of Dudh Kumar Naskar at Sansad IV,Constr of State scheme House for Individuals,16-06-2020,18360,0,0,0,0  ,18360,
32008235315,Reconstruction of house under SDRF post AMPHAN of Beneficiary of Shajamal Laskar at sansad XII,3216014001/IF/321002041151499,Reconstruction of house under SDRF post AMPHAN of Beneficiary of Shajamal Laskar at sansad XII,Constr of State scheme House for Individuals,16-06-2020,18360,0,0,0,0  ,18360,
32007634034,Orchard Plantation of Beneficiary-MOUSUMI NASKAR   at Sansad No-IV,3216014001/IF/22012034657839,Orchard Plantation of Beneficiary-MOUSUMI NASKAR at Sansad No-IV,Line Plntation(Coast) - horti-trees (Individuals),27-06-2018,12415,0,0,0,0  ,12415,
