assetid,assetname,classofasset,schemename,schemecode,sanctiondate,wage,Total Material,semiskilled,skilled,material,contingency,total,mandays
32000044189,road,Earthern road,CONSTRUCTION OF EARTHEN ROAD FROM H/O SHYAMAL GHOSH TO MIYAPARA AT BRAHMANAGAR ,3201009012/RC/320201060264056,30-06-2015,338245,25326,0,23751,1575,0  ,363571,
32000044221,road,Earthern road,CONSTRUCTION OF EARTHEN ROAD AT HORTICULTURE NEAR AMTALA,3201009012/RC/320201060281662,23-09-2015,67124,3882,0,3132,750,0  ,71006,
32000044408,land development,Development of Waste Land,"INCREASING THE LEVELING THE ELEVATION OF AGRICULTURE LAND FOR SC,ST,BPL&MARGINAL FARMER AT PURATAN  ",3201009012/LD/321002040638810,29-10-2015,383010,24240,0,23490,750,0  ,407250,
32000044447,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND HORTICULTURE NEAR JHOUTALA ,3201009012/LD/321002040633657,01-09-2015,413043,40770,0,24795,15975,0  ,453813,
32000044514,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND FOR SC.ST.BPL & MARGINAL FARMER AT SOUTH AMGHATA ,3201009012/LD/321002040640600,09-11-2015,74881,5448,0,4698,750,0  ,80329,
32000044538,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC.ST,BPL & MARGINAL FARMER AT NATUN SAMBHUNAGAR ",3201009012/LD/321002040641205,09-11-2015,393910,24762,0,24012,750,0  ,418672,
32000044583,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL &MARGINAL FARMER AT CHOWDHURYPARA",3201009012/LD/321002040638815,07-10-2015,87283,6492,0,5742,750,0  ,93775,
32000047862,drain,Community Well for Irrigation,CONSTRUCTION OF A DRAIN FROM THE DEEP TUBEWELL AT SOUTH AMGHATA ,3201009012/IC/130717745951,13-07-2015,61710,3882,0,3132,750,0  ,65592,
32000047872,field chanel,Lining of Canals,RE-EXCAVATION OF EARTHEN FIELD CANNEL FROM GANGABASH COTTON MILL TOWARDS USHIDPUR CULTIVATION LAND ,3201009012/IC/130717752115,07-10-2015,59465,4404,0,3654,750,0  ,63869,
32000047879,khal,"Construction of Canal, Distributary and Minor",RE-EXCAVATION OF KHAL THE HARKHALI KHAL TO GATER MUKH AT PURATAN SAMBHU NAGAR ,3201009012/IC/130717759314,13-07-2015,70380,4926,0,4176,750,0  ,75306,
32000047904,plantation,Plantation,"CULTIVATION OF LEMON FOR SC,ST,BPL & MARGINAL FARMERS AT DWIJENDRANAGAR ",3201009012/DP/34041020193,03-08-2015,23490,7749,0,0,7749,0  ,31239,
32000047909,plantation,Plantation,"CULTIVATION OF KUL FOR SC,ST, BPL & MARGINAL FARMER AT KASHIBASH",3201009012/DP/34041019516,01-09-2015,38976,34720,0,0,34720,0  ,73696,
32000047920,plantation,Plantation,"CULTIVATION OF MANGO , PAPAYA,LEMON, LITCHI UNDER MARGINAL FARMER AT PURATAN SAMBHU NAGAR ",3201009012/DP/34041022008,03-08-2015,36540,24775.2,0,0,24775.2,0  ,61315.2,
32000047928,plantation,Plantation,"CULTIVATION OF MANGO , PAPIYA , LEMON , LICHI ",3201009012/DP/34041017333,13-08-2015,22968,6026.4,0,0,6026.4,0  ,28994.4,
32000047933,plantation,Plantation,"CULTIVATION OF MANGO ,PAPAYA, LEMON,LITCHI UNDER MARGINAL FARMERS AT GNAGABASH",3201009012/DP/34041017737,03-08-2015,31320,8035.2,0,0,8035.2,0  ,39355.2,
32000047941,plantation,Plantation,"CULTIVATION OF MANGO ,PAPIYA ,LEMON , LITCHI UNDER MARGINAL FARMER AT PURATAN SAMBHU NAGAR .",3201009012/DP/34041019956,03-08-2015,31320,0,0,0,0,0  ,31320,
32000047953,plantation,Plantation,CULTIVATION OF MANGO AT SHIMULTALA BSF KRISHNAGAR SECTOR AREA ,3201009012/DP/34041025579,22-09-2015,28188,8035.2,0,0,8035.2,0  ,36223.2,
32000047961,plantation,Plantation,CULTIVATION OF MANGO UNDER MARGINAL FARMERS AT UTTAR AMGHATA ,3201009012/DP/34041017744,13-08-2015,30798,7911.2,0,0,7911.2,0  ,38709.2,
32000047965,plantation,Plantation,"CULTIVATION OF MANGO,PAPAYA,LEMON,LITCHI UNDER MARGINAL FARMER AT BRAHMANAGAR ",3201009012/DP/34041025221,03-08-2015,39150,10044,0,0,10044,0  ,49194,
32000047971,plantation,Plantation,PLANTATION CUM ENVIRONMENT CLEANING IN BRAHMANAGAR PRY. SCHOOL,3201009012/DP/34041006558,29-06-2015,26796,0,0,0,0,0  ,26796,
32000047996,plantation,Plantation,"TREE PLANTATION OF SC,ST, ,BPL & MARGINAL FARMER AT SOUTH AMGHATA ",3201009012/DP/34041019226,03-08-2015,22446,8385,0,1305,7080,0  ,30831,
32000048025,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST, BPL & MARGINAL FARMER AT KASHIBASH",3201009012/LD/321002040630692,30-06-2015,145223,20607,0,9657,10950,0  ,165830,
32000048041,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & NARGINAL FARMER AT SOUTH AMGHATA ",3201009012/LD/321002040643062,30-11-2015,52689,4143,0,3393,750,0  ,56832,
32000048069,land development,Development of Waste Land,CONSTRUCTION OF EARTHEN ROAD AT HORTICULTURE NEAR TATULTALA AT ROAD STATION,3201009012/LD/321002040633478,09-07-2015,403415,23499,0,21924,1575,0  ,426914,
32000048077,land development,Development of Waste Land,"INCREASING AND LEVELING THE ELEVATION OF AGRICULTURE LAND FOR SC,ST,BPL & MARGINAL FARMER AT PURATA ",3201009012/LD/321002040642041,29-10-2015,267056,16410,0,15660,750,0  ,283466,
32000048097,land development,Development of Waste Land,"INCREASING THE ELEVATION OF AGRICULTURE LAND FOR SC,ST,BPL &MARGINAL FARMER AT KASHIBASH",3201009012/LD/321002040639132,29-10-2015,253980,16149,0,15399,750,0  ,270129,
32000048055,land development,Development of Waste Land,CONSTRUCTION OF EARTHEN ROAD AT HORTICULTURE NEAR LABUTALA ( PH-1),3201009012/LD/321002040631695,09-07-2015,194876,11745,0,11745,0,0  ,206621,
32000048109,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND AT BISWASPARA ADHIR BISWAS AND OTHERS 2 NOS BENEFICIARY AT BISWASPA,3201009012/LD/321002040635349,22-09-2015,183317,21405,0,7830,13575,0  ,204722,
32000160429,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT ROYPARA ",3201009012/LD/321002040647180,07-10-2015,112585,7014,0,6264,750,0  ,119599,
32000048133,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND AT HORTICULTURE FIELD NEAR TATULTALA (PHASE - II),3201009012/LD/321002040635570,01-09-2015,325955,33942,0,18792,15150,0  ,359897,
32000160432,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT ROYPARA ",3201009012/LD/321002040635352,23-09-2015,247394,13059,0,11484,1575,0  ,260453,
32000160437,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT PURATAN SAMBHU NAGAR (PH- 2) ",3201009012/LD/321002040633148,23-07-2015,320335,20064,0,19314,750,0  ,340399,
32000160439,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT PURATAN SAMBHU NAGAR ",3201009012/LD/321002040645174,30-11-2015,247010,20010,0,15660,4350,0  ,267020,
32000160423,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT SHYAMNAGAR ",3201009012/LD/321002040633732,13-08-2015,176441,8883,0,7308,1575,0  ,185324,
32000160441,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT PURATAN SAMBHU NAGAR ",3201009012/LD/321002040636438,22-09-2015,177550,13017,0,12267,750,0  ,190567,
32000160419,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT SHYAMPUR ",3201009012/LD/321002040642465,09-11-2015,139836,8580,0,7830,750,0  ,148416,
32000160445,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT PURATAN SAMBHU NAGAR",3201009012/LD/321002040634624,23-07-2015,243800,18540,0,16965,1575,0  ,262340,
32000160448,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT KASHIBASH ",3201009012/LD/321002040633218,23-07-2015,410833,27153,0,25578,1575,0  ,437986,
32000048151,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND AT HORTICULTURE NEAR LABUTALA  AT ROAD STATION,3201009012/LD/321002040630874,09-07-2015,206663,13278,0,12528,750,0  ,219941,
32000048120,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND AT HORTICULTURE FIELD ( PH - 1) AT ROAD STATION,3201009012/LD/321002040630453,30-06-2015,411292,26067,0,25317,750,0  ,437359,
32000048113,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND AT GABTALA AT HORTICULTURE ,3201009012/LD/321002040631822,09-07-2015,319328,18498,0,17748,750,0  ,337826,
32000160464,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT BISWASPARA (PH-2)",3201009012/LD/321002040640093,07-10-2015,168598,10146,0,9396,750,0  ,178744,
32000160468,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST, BPL & MARGINAL FARMER AT DWIJENDRANAGAR ",3201009012/LD/321002040639135,22-09-2015,336113,23760,0,22185,1575,0  ,359873,
32000160427,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT SHYAMNAGAR ",3201009012/LD/321002040645838,10-12-2015,148422,9885,0,9135,750,0  ,158307,
32000160452,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT GANGABASH.",3201009012/LD/321002040663481,23-12-2015,77049,6498,0,4698,1800,0  ,83547,
32000163634,raod,Cement Concrete,CONSTRUCTION OF CONCRETE PAVEMENT ROAD FROM PANCHAMATHA MORE TO THE H/O PARESH DAS AT GANGABASH,3201009012/RC/320201060305584,07-01-2016,13398,266501.3,18792,783,246926.3,0  ,279899.3,
32000160479,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND AT NATUN SAMBHU NAGAR NEAR DWIJENDRANAGAR BRIZE ,3201009012/LD/321002040648923,10-12-2015,397525,25284,0,24534,750,0  ,422809,
32000160495,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND AT HORTICULTURE NEAR OLD MANGO GARDEN ,3201009012/LD/321002040640478,23-09-2015,327388,20847,0,20097,750,0  ,348235,
32000168732,earthen road  ,Earthern road,EARTHEN ROAD FROM PMGSY ROAD TOWARDS H/O ADHIR BISWAS AT BISWSAPARA ,3201009012/RC/320201060258599,29-05-2015,93313,19986,0,6786,13200,0  ,113299,
32000160475,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST ,BPL & MARGINAL FARMER AT PURATAN SAMBHU NAGAR ",3201009012/LD/321002040631022,09-07-2015,208459,28983,0,13833,15150,0  ,237442,
32000160502,land development,Development of Waste Land,INCREASING THE ELEVATION OF LAND AT HORTICULTURE NEAR SOUTH SIDE OF POND AT ROAD STATION ,3201009012/LD/321002040635344,23-09-2015,370984,24282,0,22707,1575,0  ,395266,
32000168742,brick soling road,WBM,CONSTRUCTION OF SBFS ROAD FROM THE H/O SUJAL KIRTANYA TO THE H/O MOHANTA BISWAS AT DWIJENDRANAGAR ,3201009012/RC/320201060306248,07-01-2016,11832,104057.4,4176,783,99098.4,0  ,115889.4,
32000168738,brick soling road ,WBM,CONSTRUCTION OF SINGLE BRICK FLAT SOLING ROAD FROM PMGSY TOWARDS H/O ADHIR BISWAS AT BISWASPARA ,3201009012/RC/320201060306201,07-01-2016,9918,88663,0,3132,85531,0  ,98581,
32000168754,jhama bats road,WBM,CONSTRUCTION OF JHAMA BATS ROAD FROM THE H/O NARESH CHOWDHURY TO THE H/O SANKAR KAIRI AT CHOWDHURY,3201009012/RC/320201060306213,07-01-2016,42282,245483.22,2088,4176,239219.22,0  ,287765.22,
32000160461,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT COMMUNITYHALL",3201009012/LD/321002040642039,09-11-2015,108262,7536,0,6786,750,0  ,115798,
32000168749,brick soling road,WBM,CONSTRUCTION OF SBFS ROAD FROM THE H/O ANSAR  SK TO THE H/O AJIBUL SK AT USHIDPUR,3201009012/RC/320201060308012,07-01-2016,10962,98722.5,4176,783,93763.5,0  ,109684.5,
32000168746,brick soling road,WBM,CONSTRUCTION OF SBFS ROAD FROM THE H/O RABIN GHOSH TO THE H/O SUJAY GHOSH VIA THE H/O PRAN GHOSH TO ,3201009012/RC/320201060307992,07-01-2016,15138,132933.5,0,4698,128235.5,0  ,148071.5,
32000168761,earthen road,Earthern road,CONSTRUCTION OF EARTHEN ROAD FROM PMGSY TO H/O NARESH CHOWDHURY AT BISWASPARA (PH-1),3201009012/RC/320201060268207,22-09-2015,161491,9102,0,8352,750,0  ,170593,
32000168770,concrete road ,Cement Concrete,CONSTRUCTION OF CONCRETE PAVEMENT ROAD FROM THE SHOP TARAK GHOSH TO THE HASEN SK AT SHYAMNAGAR,3201009012/RC/320201060303698,18-01-2016,32712,527158.7375,53940,1044,472174.7375,0  ,559870.7375,
32000168778,concrete road,Cement Concrete,CONSTRUCTION OF CONCRETE PAVEMENT ROAD FROM THE H/O SAHAJAN SK TO THE H/O IDU SK AT UTTAR AMGHATA,3201009012/RC/320201060303558,18-01-2016,25926,411214.675,46284,1566,363364.675,0  ,437140.675,
32000168782,concrete road,Cement Concrete,CONSTRUCTION OF CONCRETE PAVEMENT ROAD FROM THE H/O SABITRI ADHIKARY TO THE H/O KALIDAS SAHA AT ROA ,3201009012/RC/320201060305577,07-01-2016,0,217735.4,0,0,217735.4,0  ,217735.4,
32000160458,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT DAKSHIN AMGHATA . ",3201009012/LD/321002040635360,22-09-2015,151103,11493,0,9918,1575,0  ,162596,
32000168775,concrete road ,Cement Concrete,CONSTRUCTION OF CONCRETE PAVEMENT ROAD FROM THE H/O SANAT BHOWMIK TO PANCHMATHA AT GANGABASH,3201009012/RC/320201060303683,18-01-2016,21924,359096.0075,38976,1305,318815.0075,0  ,381020.0075,
32000168785,concrete road,Cement Concrete,CONSTRUCTION OF CONCRETE PAVEMENT ROAD FROM THE H/O NAJU SK TO THE H/O DHARANIKANTA DAS AT KASHIBASH,3201009012/RC/320201060305579,07-01-2016,14616,286499.83,20532,783,265184.83,0  ,301115.83,
32000160454,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT GANGABASH ",3201009012/LD/321002040641951,09-11-2015,91272,6492,0,5742,750,0  ,97764,
32000171620,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/3/14-15,phase3",3201009/RS/34040948068,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000160456,land development,Development of Waste Land,"INCREASING THE ELEVATION OF LAND FOR SC,ST,BPL & MARGINAL FARMER AT DWIJENDRANAGAR ",3201009012/LD/321002040635553,22-09-2015,313737,34539,0,19314,15225,0  ,348276,
32000168794,concrete road,Cement Concrete,CONSTRUCTION OF CONCRETE PAVEMENT ROAD FROM THE H/O DOLAN GHOSH TO THE H/O BARORARITALA AT PURATAN ,3201009012/RC/320201060305781,18-01-2016,20358,341782.95,33408,1305,307069.95,0  ,362140.95,
32000168789,concrete road,Cement Concrete,CONSTRUCTION OF CONCRETE PAVEMENT ROAD FROM THE H/O JITEN PRAMANIK TO THE H/O BRAJAGOPAL BISWAS AT S,3201009012/RC/320201060305583,07-01-2016,14964,290141.735,20880,783,268478.735,0  ,305105.735,
32000171629,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/8/14-15,phase8",3201009/RS/34040948073,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171625,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/7/14-15,phase-7",3201009/RS/34040948072,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171631,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/9/14-15,phase-9",3201009/RS/34040948074,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171624,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/6/14-15,phase6",3201009/RS/34040948071,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171623,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/5/14-15,phase5",3201009/RS/34040948070,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171633,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/10/14-15,phase-10",3201009/RS/34040948075,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171654,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 4 & Scheme Code: 091201/23/14-15,phase23",3201009/RS/34040948098,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171638,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/11/14-15,phase11",3201009/RS/34040948076,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171622,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/4/14-15,phase4",3201009/RS/34040948069,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171722,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 7& Scheme Code: 091201/30/14-15,phase-30",3201009/RS/34040948105,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171617,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/2/14-15,phase2",3201009/RS/34040948066,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171724,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 7 Scheme Code: 091201/31/14-15,phase2",3201009/RS/34040948106,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171714,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No-7 & Scheme Code: 091201/29/14-15,phase29",3201009/RS/34040948104,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171750,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No.7, Scheme Code: 091201/43/14-15,phase-43",3201009/RS/34040948121,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171760,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No.7Scheme Code: 091201/35/14-15,phase35",3201009/RS/34040948110,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171755,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 7 Scheme Code: 091201/34/14-15,phase-34",3201009/RS/34040948109,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171727,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 7Scheme Code: 091201/32/14-15,phase-32",3201009/RS/34040948107,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171713,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No7 & Scheme Code: 091201/28/14-15,phase28",3201009/RS/34040948103,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171710,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 4, Scheme Code: 091201/27/14-15,phase27",3201009/RS/34040948102,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171777,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 7 Scheme Code: 091201/39/14-15,phase-39",3201009/RS/34040948115,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171730,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No.7Scheme Code: 091201/33/14-15,phase-33",3201009/RS/34040948108,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171708,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No.4, Scheme Code: 091201/26/14-15,phase26",3201009/RS/34040948101,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171780,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No.7, Scheme Code: 091201/40/14-15,phase-40",3201009/RS/34040948116,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171773,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad no-7, Scheme Code: 091201/38/14-15,phase-38",3201009/RS/34040948114,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171766,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 7 Scheme Code: 091201/37/14-15,phase-37",3201009/RS/34040948112,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171846,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-10 Phase 03,3201009/RS/34040948947,17-09-2014,5408,16192,0,0,16192,0  ,21600,
32000171705,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 10 & Scheme Code: 091201/25/14-15,phase25",3201009/RS/34040948100,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171840,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No 051 Phase 02,3201009/RS/34040948945,17-09-2014,5408,16192,0,0,16192,0  ,21600,
32000171836,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-05 Phase 01,3201009/RS/34040948943,17-09-2014,5408,16192,0,0,16192,0  ,21600,
32000171763,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,"Estimate for IHHL (4nos,beneficairy at Sansad No. 7 Scheme Code: 091201/36/14-15,phase-36",3201009/RS/34040948111,17-09-2014,6084,12996,0,0,12996,0  ,19080,
32000171858,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-10 Phase 06,3201009/RS/34040948962,17-09-2014,5408,16192,0,0,16192,0  ,21600,
32000171862,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-10 Phase 07,3201009/RS/34040948966,17-09-2014,4732,16192,0,0,16192,0  ,20924,
32000171851,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-10 Phase-04,3201009/RS/34040948948,17-09-2014,4056,16192,0,0,16192,0  ,20248,
32000171854,INDIVIDUALHOUSEHOLDLATRIN,Individual Household Latrines,IHHL with Brick work Sansad No-10 Phase 05,3201009/RS/34040948954,17-09-2014,5408,16192,0,0,16192,0  ,21600,
