scheme_code,completion_date,scheme_name,completion_date,estimated_cost,estimated_material,expenditure_wage,expenditure_material,sanctiondate,wage_expense,semiskilled_expense,skilled_expense,material_expense,contingency_expense,total_expense,mandays
3214003007/IF/IAY/4456496,22-06-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5215876 ,22-06-2022,19380,0,6936,0,27-10-2020,6936,0,0,0,0  ,6936,
3214003007/RC/320201060585429,21-01-2022,Construction of road from Nimdiha to Madandih Village Via Madandih More in Hura block ,21-01-2022,370864.67,3562143.95,163281,0,28-10-2020,163281,0,0,0,0  ,163281,
3214003007/IF/PP/1037500,01-09-2021,UM Excav of Anil Mudi Lakkhi Goria ,01-09-2021,195696.73,2500,158100,0,26-09-2020,158100,0,0,0,0  ,158100,
3214003007/IF/PP/1037506,21-01-2022,UM Excav of Satis Mahato Farm Pond ,21-01-2022,195694.61,2500,191619,0,22-08-2020,191619,0,0,0,0  ,191619,
3214003007/IF/PP/1037444,21-01-2022,Excav of Budheswar Bauri Happa ,21-01-2022,195696.73,2500,204576.09,0,09-10-2020,204576.09,0,0,0,0  ,204576.09,
3214003007/IF/PP/1037441,01-02-2022,UM Excav of Kishan Majhi Gope Happa ,01-02-2022,195694.61,2500,167489.25,0,22-08-2020,167489.25,0,0,0,0  ,167489.25,
3214003007/IF/PP/1037428,11-03-2022,UM Excav  Dijapada Bauri Happa ,11-03-2022,195694.61,2500,62223,0,06-09-2020,62223,0,0,0,0  ,62223,
3214003007/IF/IAY/4856287,11-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4443885 ,11-03-2022,20235,0,17040,0,21-07-2021,17040,0,0,0,0  ,17040,
3214003007/IF/PP/1037431,17-10-2021,UM Excav  Sukumar Bauri Happa ,17-10-2021,206318.86,2500,193688.96,0,12-07-2020,193688.96,0,0,0,0  ,193688.96,
3214003007/IF/IAY/4749274,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5391412 ,10-03-2022,19380,0,16932,0,28-07-2020,16932,0,0,0,0  ,16932,
3214003007/IF/PP/1037443,23-11-2021,UM Excav of Kalyan Mandal Happa ,23-11-2021,195696.73,2500,225732.56,0,18-08-2020,225732.56,0,0,0,0  ,225732.56,
3214003007/IF/IAY/4837547,11-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2778238 ,11-03-2022,20235,0,15336,0,10-02-2021,15336,0,0,0,0  ,15336,
3214003007/IF/PP/1037408,03-07-2021,UM Excav Umapada Mudi Happa ,03-07-2021,195694.61,2500,193316.12,0,06-09-2020,193316.12,0,0,0,0  ,193316.12,
3214003007/IF/PP/1037457,03-07-2021,UM Excav Mansaram Mudi Happa ,03-07-2021,195696.73,2500,196583.07,0,17-08-2020,196583.07,0,0,0,0  ,196583.07,
3214003007/IF/IAY/4694886,09-02-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1104257 ,09-02-2022,19380,0,15096,0,03-02-2021,15096,0,0,0,0  ,15096,
3214003007/IF/IAY/4673444,09-02-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2885843 ,09-02-2022,19380,0,16524,0,30-12-2020,16524,0,0,0,0  ,16524,
3214003007/IF/IAY/4743711,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5472658 ,29-03-2022,19380,0,6528,0,15-01-2018,6528,0,0,0,0  ,6528,
3214003007/IF/PP/1037436,20-05-2021,UM Excav  Dabu Roy Happa ,20-05-2021,206316.66,2500,200940.1,0,23-05-2020,200940.1,0,0,0,0  ,200940.1,
3214003007/IF/IAY/4673450,09-02-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1583049 ,09-02-2022,19380,0,14280,0,29-01-2021,14280,0,0,0,0  ,14280,
3214003007/IF/IAY/4669356,23-10-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5062065 ,23-10-2021,19380,0,18972,0,07-01-2021,18972,0,0,0,0  ,18972,
3214003007/IF/IAY/4694872,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5396103 ,10-03-2022,19380,0,8160,0,09-01-2021,8160,0,0,0,0  ,8160,
3214003007/IF/IAY/4673442,23-10-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5653763 ,23-10-2021,19380,0,18360,0,24-11-2020,18360,0,0,0,0  ,18360,
3214003007/IF/IAY/4673441,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5548490 ,10-03-2022,19380,0,14688,0,28-07-2020,14688,0,0,0,0  ,14688,
3214003007/IF/IAY/4749268,11-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5341212 ,11-03-2022,19380,0,16524,0,28-07-2020,16524,0,0,0,0  ,16524,
3214003007/IF/IAY/4650264,11-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5310836 ,11-12-2021,19380,0,17136,0,01-01-2021,17136,0,0,0,0  ,17136,
3214003007/IF/IAY/4669349,01-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5394015 ,01-12-2021,19380,0,15300,0,30-08-2020,15300,0,0,0,0  ,15300,
3214003007/IF/IAY/4648398,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2605292 ,08-11-2021,19380,0,11832,0,07-01-2021,11832,0,0,0,0  ,11832,
3214003007/IF/IAY/4669353,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4923399 ,08-11-2021,19380,0,12240,0,25-12-2020,12240,0,0,0,0  ,12240,
3214003007/IF/IAY/4648395,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5064674 ,08-11-2021,19380,0,14688,0,01-01-2021,14688,0,0,0,0  ,14688,
3214003007/IF/IAY/4669348,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5246397 ,10-03-2022,19380,0,16320,0,28-07-2020,16320,0,0,0,0  ,16320,
3214003007/IF/IAY/4648394,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3096487 ,29-03-2022,19380,0,12036,0,01-01-2021,12036,0,0,0,0  ,12036,
3214003007/IF/IAY/4648392,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5650102 ,10-03-2022,19380,0,14688,0,30-12-2020,14688,0,0,0,0  ,14688,
3214003007/IF/IAY/4648393,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2730201 ,08-11-2021,19380,0,17544,0,01-01-2021,17544,0,0,0,0  ,17544,
3214003007/IF/IAY/4648391,21-01-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5517453 ,21-01-2022,19380,0,17136,0,30-12-2020,17136,0,0,0,0  ,17136,
3214003007/IF/IAY/4648390,21-01-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5251518 ,21-01-2022,19380,0,17340,0,30-12-2020,17340,0,0,0,0  ,17340,
3214003007/IF/IAY/4648396,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5714954 ,08-11-2021,19380,0,11016,0,01-01-2021,11016,0,0,0,0  ,11016,
3214003007/IF/IAY/4648388,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4063909 ,29-03-2022,19380,0,10404,0,30-12-2020,10404,0,0,0,0  ,10404,
3214003007/IF/IAY/4648389,09-02-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4333882 ,09-02-2022,19380,0,15096,0,30-12-2020,15096,0,0,0,0  ,15096,
3214003007/IF/IAY/4648385,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5735090 ,29-03-2022,19380,0,8976,0,25-12-2020,8976,0,0,0,0  ,8976,
3214003007/IF/IAY/4648387,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3984194 ,10-03-2022,19380,0,14688,0,30-12-2020,14688,0,0,0,0  ,14688,
3214003007/IF/IAY/4648384,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5579119 ,08-11-2021,19380,0,17952,0,25-12-2020,17952,0,0,0,0  ,17952,
3214003007/IF/IAY/4673443,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5383873 ,10-03-2022,19380,0,14688,0,09-01-2021,14688,0,0,0,0  ,14688,
3214003007/IF/IAY/4648272,17-01-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5048099 ,17-01-2022,19380,0,17952,0,25-12-2020,17952,0,0,0,0  ,17952,
3214003007/IF/IAY/4648271,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4633562 ,08-11-2021,19380,0,18360,0,25-12-2020,18360,0,0,0,0  ,18360,
3214003007/IF/IAY/4648382,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5262100 ,29-03-2022,19380,0,11016,0,25-12-2020,11016,0,0,0,0  ,11016,
3214003007/IF/IAY/4648255,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5296667 ,29-03-2022,19380,0,5712,0,01-01-2021,5712,0,0,0,0  ,5712,
3214003007/IF/IAY/4648270,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3115832 ,29-03-2022,19380,0,11016,0,25-12-2020,11016,0,0,0,0  ,11016,
3214003007/IF/IAY/4648249,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4217775 ,10-03-2022,19380,0,14280,0,30-12-2020,14280,0,0,0,0  ,14280,
3214003007/IF/IAY/4648386,09-02-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2894465 ,09-02-2022,19380,0,19380,0,30-12-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4648247,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1320196 ,29-03-2022,19380,0,10200,0,28-07-2020,10200,0,0,0,0  ,10200,
3214003007/IF/IAY/4648254,09-02-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4750431 ,09-02-2022,19380,0,16728,0,01-01-2021,16728,0,0,0,0  ,16728,
3214003007/IF/IAY/4648240,21-01-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5230901 ,21-01-2022,19380,0,17340,0,28-07-2020,17340,0,0,0,0  ,17340,
3214003007/IF/IAY/4648243,31-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4617101 ,31-07-2021,19380,0,18768,0,30-12-2020,18768,0,0,0,0  ,18768,
3214003007/IF/IAY/4648251,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4676858 ,10-03-2022,19380,0,8568,0,30-12-2020,8568,0,0,0,0  ,8568,
3214003007/IF/IAY/4641754,21-01-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4319945 ,21-01-2022,19380,0,17856,0,13-11-2020,17856,0,0,0,0  ,17856,
3214003007/IF/PP/1037418,03-07-2021,UM Excav  Majhilal Bauri Happa ,03-07-2021,195694.61,2500,226848,0,29-09-2020,226848,0,0,0,0  ,226848,
3214003007/IF/IAY/4629060,08-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3164774 ,08-12-2021,19380,0,16116,0,02-12-2020,16116,0,0,0,0  ,16116,
3214003007/IF/IAY/4629061,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4992687 ,29-03-2022,19380,0,7140,0,11-12-2020,7140,0,0,0,0  ,7140,
3214003007/IF/IAY/4629058,11-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3412769 ,11-03-2022,19380,0,15096,0,27-10-2020,15096,0,0,0,0  ,15096,
3214003007/IF/IAY/4629059,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2041034 ,10-03-2022,19380,0,14484,0,24-11-2020,14484,0,0,0,0  ,14484,
3214003007/IF/IAY/4641753,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5365472 ,10-03-2022,19380,0,8976,0,21-09-2020,8976,0,0,0,0  ,8976,
3214003007/IF/IAY/4629049,21-01-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5641590 ,21-01-2022,19380,0,17136,0,30-08-2020,17136,0,0,0,0  ,17136,
3214003007/IF/IAY/4620087,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5235465 ,10-03-2022,19380,0,11424,0,01-03-2020,11424,0,0,0,0  ,11424,
3214003007/IF/IAY/4629055,09-02-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1300306 ,09-02-2022,19380,0,15504,0,30-09-2020,15504,0,0,0,0  ,15504,
3214003007/IF/IAY/4650256,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5064689 ,08-11-2021,19380,0,14688,0,01-01-2021,14688,0,0,0,0  ,14688,
3214003007/IF/IAY/4629048,09-02-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4758749 ,09-02-2022,19380,0,13872,0,30-08-2020,13872,0,0,0,0  ,13872,
3214003007/IF/IAY/4629057,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4792070 ,10-03-2022,19380,0,12036,0,30-09-2020,12036,0,0,0,0  ,12036,
3214003007/IF/IAY/4552889,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1607307 ,08-11-2021,19380,0,14280,0,30-08-2020,14280,0,0,0,0  ,14280,
3214003007/IF/IAY/4620075,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4303417 ,29-03-2022,19380,0,11016,0,24-09-2019,11016,0,0,0,0  ,11016,
3214003007/IF/IAY/4459369,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5399142 ,10-03-2022,19380,0,14688,0,27-10-2020,14688,0,0,0,0  ,14688,
3214003007/IF/IAY/4458965,08-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5579974 ,08-08-2021,19380,0,18768,0,27-10-2020,18768,0,0,0,0  ,18768,
3214003007/IF/IAY/4458707,11-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4933740 ,11-12-2021,19380,0,17952,0,27-10-2020,17952,0,0,0,0  ,17952,
3214003007/IF/IAY/4457658,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3964110 ,29-03-2022,19380,0,10404,0,13-11-2020,10404,0,0,0,0  ,10404,
3214003007/IF/IAY/4457458,08-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4911573 ,08-12-2021,19380,0,15912,0,13-11-2020,15912,0,0,0,0  ,15912,
3214003007/IF/IAY/4457327,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4047219 ,29-03-2022,19380,0,10404,0,13-11-2020,10404,0,0,0,0  ,10404,
3214003007/IF/IAY/4669350,11-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4319487 ,11-12-2021,19380,0,19380,0,27-10-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4616094,11-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5023122 ,11-03-2022,19380,0,15300,0,27-10-2020,15300,0,0,0,0  ,15300,
3214003007/IF/IAY/4456521,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4319925 ,10-03-2022,19380,0,13260,0,27-10-2020,13260,0,0,0,0  ,13260,
3214003007/IF/IAY/4448437,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5476080 ,10-03-2022,19380,0,8772,0,27-10-2020,8772,0,0,0,0  ,8772,
3214003007/IF/IAY/4436965,11-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4363919 ,11-12-2021,19380,0,18060,0,27-10-2020,18060,0,0,0,0  ,18060,
3214003007/IF/IAY/4459497,11-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4752596 ,11-03-2022,19380,0,14892,0,27-10-2020,14892,0,0,0,0  ,14892,
3214003007/IF/IAY/4435568,11-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4788856 ,11-03-2022,19380,0,15504,0,27-10-2020,15504,0,0,0,0  ,15504,
3214003007/IF/IAY/4433880,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5310817 ,10-03-2022,19380,0,11832,0,28-07-2020,11832,0,0,0,0  ,11832,
3214003007/IF/IAY/4438546,11-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5468111 ,11-03-2022,19380,0,14280,0,27-10-2020,14280,0,0,0,0  ,14280,
3214003007/IF/IAY/4455888,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3499492 ,10-03-2022,19380,0,12162,0,30-08-2020,12162,0,0,0,0  ,12162,
3214003007/IF/IAY/4430756,07-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4462091 ,07-03-2022,19380,0,12240,0,30-08-2020,12240,0,0,0,0  ,12240,
3214003007/IF/IAY/4404191,07-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3764509 ,07-03-2022,19380,0,12648,0,30-08-2020,12648,0,0,0,0  ,12648,
3214003007/IF/IAY/4457032,29-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4987973 ,29-03-2022,19380,0,14280,0,13-11-2020,14280,0,0,0,0  ,14280,
3214003007/IF/IAY/4395473,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4269612 ,10-03-2022,19380,0,14688,0,27-10-2020,14688,0,0,0,0  ,14688,
3214003007/IF/IAY/4423389,11-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5510517 ,11-03-2022,19380,0,15096,0,27-10-2020,15096,0,0,0,0  ,15096,
3214003007/IF/IAY/4385934,08-11-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1615865 ,08-11-2021,19380,0,11016,0,30-09-2020,11016,0,0,0,0  ,11016,
3214003007/IF/IAY/4380326,10-03-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1526844 ,10-03-2022,19380,0,15096,0,21-09-2020,15096,0,0,0,0  ,15096,
3214003007/IF/IAY/4392621,08-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3337035 ,08-12-2021,19380,0,15096,0,13-11-2020,15096,0,0,0,0  ,15096,
3214003007/IF/IAY/4629056,21-01-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3399841 ,21-01-2022,19380,0,17340,0,30-09-2020,17340,0,0,0,0  ,17340,
3214003007/IF/IAY/4194728,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5607085 ,16-07-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194668,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5376855 ,16-07-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4397633,08-12-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3336969 ,08-12-2021,19380,0,17544,0,13-11-2020,17544,0,0,0,0  ,17544,
3214003007/IF/IAY/4194664,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5623057 ,16-07-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4419471,21-01-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4319545 ,21-01-2022,19380,0,16659,0,27-10-2020,16659,0,0,0,0  ,16659,
3214003007/IF/IAY/4194626,01-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5523900 ,01-07-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4194639,09-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4862098 ,09-07-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194731,31-05-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3970996 ,31-05-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194741,10-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5376877 ,10-06-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4669355,17-01-2022,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4072406 ,17-01-2022,19380,0,18564,0,01-01-2021,18564,0,0,0,0  ,18564,
3214003007/IF/IAY/4194483,25-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5262289 ,25-08-2021,19380,0,18564,0,28-07-2020,18564,0,0,0,0  ,18564,
3214003007/IF/IAY/4194578,29-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2784283 ,29-06-2021,19380,0,18972,0,15-06-2020,18972,0,0,0,0  ,18972,
3214003007/IF/IAY/4194449,04-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3079236 ,04-08-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194447,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5376745 ,16-07-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194434,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5251521 ,16-07-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194395,22-05-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1398038 ,22-05-2021,19380,0,19380,0,10-08-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4194455,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5391467 ,16-07-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4194383,06-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB1526564 ,06-07-2021,19380,0,19380,0,27-05-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4194369,04-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5235549 ,04-08-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194582,14-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3830568 ,14-07-2021,19380,0,18972,0,28-07-2020,18972,0,0,0,0  ,18972,
3214003007/IF/IAY/4194357,23-10-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5660936 ,23-10-2021,19380,0,18768,0,15-06-2020,18768,0,0,0,0  ,18768,
3214003007/IF/IAY/4194363,31-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4564041 ,31-07-2021,19380,0,18564,0,28-07-2020,18564,0,0,0,0  ,18564,
3214003007/IF/IAY/4194282,29-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2229995 ,29-06-2021,19380,0,19380,0,10-08-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4194392,10-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB3830088 ,10-06-2021,19380,0,19176,0,10-08-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194264,22-05-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5367032 ,22-05-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
3214003007/IF/IAY/4194256,19-06-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB2050780 ,19-06-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4194253,16-07-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB4854436 ,16-07-2021,19380,0,19380,0,28-07-2020,19380,0,0,0,0  ,19380,
3214003007/IF/IAY/4194336,04-08-2021,Construction of PMAY-G House for Individuals -PMAY-G  REG. NO. WB5613402 ,04-08-2021,19380,0,19176,0,28-07-2020,19176,0,0,0,0  ,19176,
